"BehaviorSpace results (NetLogo 6.2.0)"
"harvest.nlogo"
"smaller-space"
"05/23/2022 11:31:30:518 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","52","0","32"
"[run number]","render?","always-update-turtle-constants","density","spread-rate","num-turtles-s1","num-turtles-s2","shoot-vision-s1","shoot-vision-s2","shoot-accuracy-s1","shoot-accuracy-s2","shoot-threshold-s1","shoot-threshold-s2","shoot-chance-s1","shoot-chance-s2","eat-vision-s1","eat-vision-s2","eat-threshold-s1","eat-threshold-s2","[step]","overall-avg-gain","s1-avg-gain","s2-avg-gain","equality","sum-tics-alive / (ticks * num-turtles)","sum-time-gains / (sum [gain] of turtles + 0.001)"
"3","false","false","30","10","2","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.057057057057057055","0.05755755755755756","0.056956956956956954","0.7576536062378167","1","123.82291838754622"
"2","false","false","30","10","1","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.051468134801468134","0.056056056056056056","0.05105105105105105","0.7506402485143165","1","113.80532608537102"
"4","false","false","30","10","3","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.05572238905572239","0.04237570904237571","0.06017128239350462","0.7231538922155689","1","122.65400800298204"
"1","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.0533033033033033","0","0.0533033033033033","0.7619979149582817","1","114.03894516597"
"6","false","false","30","10","5","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.05038371705038372","0.04704704704704705","0.05276705276705277","0.8392280353200883","1","111.1968357668282"
"5","false","false","30","10","4","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.05630630630630631","0.05880880880880881","0.055055055055055056","0.8002234567901234","1","112.26205590806532"
"8","false","false","30","10","0","5","5","5","50","50","8","0","50","50","5","5","0","0","1000","0.056890223556890225","0","0.056890223556890225","0.6612903246499857","1","135.08484591664822"
"7","false","false","30","10","6","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.05305305305305305","0.05405405405405406","0.05205205205205205","0.7031922431865828","1","119.5595604409427"
"10","false","false","30","10","2","5","5","5","50","50","8","0","50","50","5","5","0","0","1000","0.052719386052719384","0.08958958958958958","0.045345345345345345","0.5889713080168777","0.909","152.14374660799587"
"9","false","false","30","10","1","5","5","5","50","50","8","0","50","50","5","5","0","0","1000","0.053720387053720384","0.06706706706706707","0.05250705250705251","0.6973049689440993","0.956","151.27771540727423"
"11","false","false","30","10","3","5","5","5","50","50","8","0","50","50","5","5","0","0","1000","0.050467133800467134","0.0647313980647314","0.045712379045712376","0.6342975231797692","0.8575833333333334","148.80471271948312"
"12","false","false","30","10","4","5","5","5","50","50","8","0","50","50","5","5","0","0","1000","0.05555555555555555","0.05655655655655656","0.055055055055055056","0.5906905905905906","0.81575","168.12437218562735"
"14","false","false","30","10","6","5","5","5","50","50","8","0","50","50","5","5","0","0","1000","0.058725392058725394","0.06990323656990324","0.047547547547547545","0.7041719696969697","0.70625","156.19295995318188"
"13","false","false","30","10","5","5","5","5","50","50","8","0","50","50","5","5","0","0","1000","0.06106106106106106","0.07327327327327328","0.05233805233805234","0.742130965391621","0.78675","143.12821977019158"
"16","false","false","30","10","1","5","5","5","50","50","40","0","50","50","5","5","0","0","1000","0.05196863530196864","0.12112112112112113","0.04568204568204568","0.737526431246656","0.974","124.85533731085505"
"15","false","false","30","10","0","5","5","5","50","50","40","0","50","50","5","5","0","0","1000","0.05163496830163497","0","0.05163496830163497","0.7050350046780088","1","110.6621798672377"
"17","false","false","30","10","2","5","5","5","50","50","40","0","50","50","5","5","0","0","1000","0.06147814481147815","0.05555555555555555","0.06266266266266267","0.6652967435549525","0.9076666666666666","140.43942952587582"
"18","false","false","30","10","3","5","5","5","50","50","40","0","50","50","5","5","0","0","1000","0.05538872205538872","0.09442776109442776","0.04237570904237571","0.6263550200803213","0.8876666666666667","154.62326110954652"
"19","false","false","30","10","4","5","5","5","50","50","40","0","50","50","5","5","0","0","1000","0.05597263930597264","0.043293293293293296","0.06231231231231231","0.7339549428713363","0.8455833333333334","132.55866980824172"
"20","false","false","30","10","5","5","5","5","50","50","40","0","50","50","5","5","0","0","1000","0.05772439105772439","0.07647647647647647","0.04433004433004433","0.7023121405207602","0.771","184.4318144048925"
"21","false","false","30","10","6","5","5","5","50","50","40","0","50","50","5","5","0","0","1000","0.062479145812479146","0.07307307307307308","0.05188521855188522","0.7140519359145527","0.6853333333333333","226.94896268496305"
"22","false","false","30","10","0","5","5","5","50","50","0","8","50","50","5","5","0","0","1000","0.05196863530196864","0","0.05196863530196864","0.6497789727126806","0.645","159.5182030205409"
"23","false","false","30","10","1","5","5","5","50","50","0","8","50","50","5","5","0","0","1000","0.05338672005338672","0.04604604604604605","0.05405405405405406","0.6980166666666667","0.66425","116.46544302274528"
"24","false","false","30","10","2","5","5","5","50","50","0","8","50","50","5","5","0","0","1000","0.06806806806806807","0.025525525525525526","0.07657657657657657","0.5422794141019229","0.6525833333333333","254.83669750404718"
"25","false","false","30","10","3","5","5","5","50","50","0","8","50","50","5","5","0","0","1000","0.05822489155822489","0.019352686019352687","0.07118229340451562","0.5905966571155683","0.6755833333333333","198.02263893604737"
"26","false","false","30","10","4","5","5","5","50","50","0","8","50","50","5","5","0","0","1000","0.06656656656656657","0.03003003003003003","0.08483483483483484","0.6778360066833751","0.6680833333333334","191.033595195996"
"27","false","false","30","10","5","5","5","5","50","50","0","8","50","50","5","5","0","0","1000","0.0543043043043043","0.04904904904904905","0.05805805805805806","0.6599822324628777","0.6789166666666666","132.02898305839776"
