"BehaviorSpace results (NetLogo 6.2.0)"
"harvest.nlogo"
"SSD-experiment"
"05/23/2022 11:17:44:505 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","20","0","20"
"[run number]","render?","always-update-turtle-constants","density","spread-rate","num-turtles-s1","num-turtles-s2","shoot-vision-s1","shoot-vision-s2","shoot-accuracy-s1","shoot-accuracy-s2","shoot-threshold-s1","shoot-threshold-s2","shoot-chance-s1","shoot-chance-s2","eat-vision-s1","eat-vision-s2","eat-threshold-s1","eat-threshold-s2","[step]","overall-avg-gain","s1-avg-gain","s2-avg-gain","equality","sum-tics-alive / (ticks * num-turtles)","sum-time-gains / (sum [gain] of turtles)"
"7","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","1","1000","0.27427427427427425","0","0.27427427427427425","0.9945255476950023","1","468.85766423357666"
"3","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.11461461461461461","0","0.11461461461461461","0.9847161588737818","1","169.31441048034935"
"4","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.08008008008008008","0","0.08008008008008008","0.8687500205078093","1","128.9125"
"5","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.08708708708708708","0","0.08708708708708708","0.8965517390011869","1","142.3448275862069"
"6","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","1","1000","0.2197197197197197","0","0.2197197197197197","0.9419134429434258","1","452.42824601366743"
"8","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","1","1000","0.25675675675675674","0","0.25675675675675674","0.9502924000832164","1","482.31189083820664"
"2","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.0935935935935936","0","0.0935935935935936","0.9545454606222646","1","152.75935828877004"
"9","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","1","1000","0.22672672672672672","0","0.22672672672672672","0.974613687935227","1","459.4591611479029"
"10","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","1","1000","0.26426426426426425","0","0.26426426426426425","0.9848484855658861","1","475.21590909090907"
"12","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","2","1000","0.22122122122122123","0","0.22122122122122123","0.9683257936467311","1","490.87330316742083"
"13","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","2","1000","0.2822822822822823","0","0.2822822822822823","0.9804964547652281","1","489.66843971631204"
"11","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","2","1000","0.3013013013013013","0","0.3013013013013013","0.9833887050087747","1","506.468438538206"
"14","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","2","1000","0.1981981981981982","0","0.1981981981981982","0.9545454574150595","1","491.2171717171717"
"15","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","2","1000","0.2727727727727728","0","0.2727727727727728","0.9990825688494235","1","493.56880733944956"
"1","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","0","1000","0.07107107107107107","0","0.07107107107107107","0.9718309908748255","1","110.32394366197182"
"17","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","3","1000","0.15065065065065064","0","0.15065065065065064","0.9784053174081963","1","517.8870431893688"
"16","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","3","1000","0.16166166166166165","0","0.16166166166166165","0.9891640875259994","1","530.2724458204334"
"18","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","3","1000","0.17317317317317318","0","0.17317317317317318","0.9508670555731896","1","494.2023121387283"
"20","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","3","1000","0.11361361361361362","0","0.11361361361361362","0.9845814994954296","1","507.2466960352423"
"19","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","3","1000","0.14514514514514515","0","0.14514514514514515","0.9965517244351961","1","467.09655172413795"
"21","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","4","1000","0.11311311311311312","0","0.11311311311311312","0.9203539911112841","1","453.4513274336283"
"22","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","4","1000","0.03853853853853854","0","0.03853853853853854","0.7467533289761918","1","462.15584415584414"
"24","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","4","1000","0.06506506506506507","0","0.06506506506506507","0.9846153875739639","1","533.8923076923077"
"25","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","4","1000","0.15115115115115116","0","0.15115115115115116","0.9602649039515808","1","498.3576158940397"
"27","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","0","1000","0.09059059059059059","0","0.09059059059059059","0.9972375694423247","1","147.61878453038673"
"28","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","0","1000","0.0915915915915916","0","0.0915915915915916","0.948087438785869","1","138.18032786885246"
"29","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","0","1000","0.10260260260260261","0","0.10260260260260261","0.9487804940511593","1","161.95609756097562"
"26","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","0","1000","0.07207207207207207","0","0.07207207207207207","0.9513888973283164","1","133.79166666666666"
"30","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","0","1000","0.0970970970970971","0","0.0970970970970971","0.974226807444999","1","142.5463917525773"
