"BehaviorSpace results (NetLogo 6.2.0)"
"harvest.nlogo"
"hunt"
"05/23/2022 17:05:03:954 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","52","0","32"
"[run number]","render?","always-update-turtle-constants","density","spread-rate","num-turtles-s1","num-turtles-s2","shoot-vision-s1","shoot-vision-s2","shoot-accuracy-s1","shoot-accuracy-s2","shoot-threshold-s1","shoot-threshold-s2","shoot-chance-s1","shoot-chance-s2","eat-vision-s1","eat-vision-s2","eat-threshold-s1","eat-threshold-s2","[step]","overall-avg-gain","s1-avg-gain","s2-avg-gain","equality","sum-tics-alive / (ticks * num-turtles)","sum-time-gains / (sum [gain] of turtles + 0.001)"
"4","false","false","30","10","3","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.06948615281948615","0.015015015015015015","0.08764319875430987","0.6368547018807522","0.6929166666666666","174.4619754358038"
"3","false","false","30","10","2","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.06539873206539873","0.01701701701701702","0.07507507507507508","0.6129826530612245","0.6479166666666667","204.83264689713405"
"2","false","false","30","10","1","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.06339673006339673","0.008008008008008008","0.06843206843206844","0.6476877192982455","0.6208333333333333","218.7891858037029"
"1","false","false","30","10","0","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.06064397731064398","0","0.06064397731064398","0.6697615791508392","0.6153333333333333","160.7109206177158"
"5","false","false","30","10","4","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.07148815482148815","0.024524524524524523","0.09496996996996997","0.631858070789576","0.6914166666666667","219.79670968878682"
"7","false","false","30","10","6","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.07874541207874541","0.030697364030697363","0.12679346012679346","0.5987935028248588","0.78925","237.93406998509536"
"6","false","false","30","10","5","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.07090423757090424","0.021621621621621623","0.1061061061061061","0.6481392156862744","0.7379166666666667","207.94328477260615"
"8","false","false","30","10","7","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.06406406406406406","0.020306020306020307","0.12532532532532534","0.5026041693652118","0.7624166666666666","216.14685397545057"
"9","false","false","30","10","8","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.08650316983650316","0.04692192192192192","0.16566566566566568","0.5843976534876245","0.8364166666666667","303.9254542666786"
"11","false","false","30","10","10","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.1544878211544878","0.12282282282282282","0.3128128128128128","0.7404707703383729","0.984","466.5667027177631"
"10","false","false","30","10","9","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.11136136136136136","0.07129351573796018","0.2315648982315649","0.6424845193508115","0.9339166666666666","378.5375441666336"
"12","false","false","30","10","11","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.1569903236569903","0.1385021385021385","0.36036036036036034","0.8075628767987006","0.998","485.1889026626447"
"13","false","false","30","10","12","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.1269602936269603","0.1269602936269603","0","0.859824047306176","1","550.6908339744849"
