"BehaviorSpace results (NetLogo 6.2.0)"
"harvest.nlogo"
"prison"
"05/23/2022 17:02:12:610 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","52","0","32"
"[run number]","render?","always-update-turtle-constants","density","spread-rate","num-turtles-s1","num-turtles-s2","shoot-vision-s1","shoot-vision-s2","shoot-accuracy-s1","shoot-accuracy-s2","shoot-threshold-s1","shoot-threshold-s2","shoot-chance-s1","shoot-chance-s2","eat-vision-s1","eat-vision-s2","eat-threshold-s1","eat-threshold-s2","[step]","overall-avg-gain","s1-avg-gain","s2-avg-gain","equality","sum-tics-alive / (ticks * num-turtles)","sum-time-gains / (sum [gain] of turtles + 0.001)"
"4","false","false","30","10","3","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.13905572238905572","0.05038371705038372","0.16861305750194638","0.7274045390921815","0.6109166666666667","496.367428693804"
"2","false","false","30","10","1","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.14030697364030698","0.08408408408408409","0.1454181454181454","0.8319470075307174","0.596","495.27972932239635"
"3","false","false","30","10","2","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.1574074074074074","0.08858858858858859","0.17117117117117117","0.837628705175764","0.6336666666666667","478.8693805673659"
"1","false","false","30","10","0","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.15532198865532199","0","0.15532198865532199","0.8390619409258371","0.6115833333333334","477.1372303237216"
"5","false","false","30","10","4","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.19285952619285954","0.13213213213213212","0.22322322322322322","0.8519598615916955","0.6608333333333334","524.9707936977535"
"7","false","false","30","10","6","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.16708375041708376","0.11211211211211211","0.22205538872205538","0.7839658678648693","0.7523333333333333","489.7980580139501"
"6","false","false","30","10","5","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.1682515849182516","0.1067067067067067","0.2122122122122122","0.8117427036853413","0.732","495.72955095213143"
"8","false","false","30","10","7","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.1648314981648315","0.10338910338910338","0.25085085085085085","0.7263832664339085","0.77825","493.7973209527728"
"9","false","false","30","10","8","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.16900233566900233","0.123998998998999","0.25900900900900903","0.776342184929253","0.82025","504.9168287676067"
"10","false","false","30","10","9","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.181348014681348","0.15515515515515516","0.2599265932599266","0.8548991413676786","0.8519166666666667","492.2610431181954"
"11","false","false","30","10","10","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.19611277944611277","0.17577577577577577","0.2977977977977978","0.8563668368070325","0.924","501.95640069910644"
"12","false","false","30","10","11","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.19436102769436103","0.18473018473018474","0.3003003003003003","0.9095135910058769","0.956","510.47918005185403"
"14","false","false","30","10","0","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.14597931264597933","0","0.14597931264597933","0.8465761904761905","0.5908333333333333","490.36314836391523"
"15","false","false","30","10","1","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.1564064064064064","0.08108108108108109","0.16325416325416325","0.8276111111111111","0.6181666666666666","479.9138773792654"
"13","false","false","30","10","12","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.19753086419753085","0.19753086419753085","0","0.9616709459459459","1","497.5555331268863"
"16","false","false","30","10","2","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.14164164164164164","0.07657657657657657","0.15465465465465467","0.7558892821066714","0.6191666666666666","490.52739073769686"
"17","false","false","30","10","3","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.14723056389723058","0.07874541207874541","0.17005894783672562","0.8347081208687441","0.6210833333333333","464.83429754430733"
"18","false","false","30","10","4","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.15932599265932598","0.08483483483483484","0.19657157157157157","0.7895415357766142","0.6813333333333333","482.01126596268796"
